Product,Category,Price,Stock,Description
Laptop Pro,Computers,1299.99,15,High-performance laptop with 16GB RAM and 512GB SSD
Wireless Mouse,Accessories,29.99,100,Ergonomic wireless mouse with 2.4GHz connectivity
Mechanical Keyboard,Accessories,89.99,45,RGB mechanical keyboard with Cherry MX switches
Gaming Monitor,Displays,349.99,25,27-inch 144Hz gaming monitor with 1ms response time
Bluetooth Headphones,Audio,159.99,60,Noise-cancelling wireless headphones with 30hr battery
USB-C Hub,Accessories,49.99,75,7-in-1 USB-C hub with HDMI and Ethernet ports
External SSD,Storage,129.99,30,1TB external SSD with USB 3.2 Gen 2 connectivity
Webcam HD,Accessories,79.99,50,1080p webcam with built-in microphone and autofocus
Smartphone X,Mobile,899.99,20,Flagship smartphone with triple camera system
Tablet Mini,Mobile,399.99,35,8-inch tablet with stylus support and 128GB storage
Smart Watch,Wearables,249.99,40,Fitness tracker with heart rate monitor and GPS
Wireless Charger,Accessories,39.99,90,15W fast wireless charging pad for Qi-enabled devices
Desktop Speaker,Audio,129.99,25,Stereo speaker system with Bluetooth 5.0
Printer Laser,Office,299.99,18,Monochrome laser printer with wireless printing
Router WiFi6,Networking,149.99,30,WiFi 6 router with mesh networking capabilities
Microphone Condenser,Audio,199.99,15,Studio-quality condenser microphone for recording
Graphics Card,Components,499.99,12,High-end graphics card with 8GB GDDR6 memory
RAM 16GB,Components,89.99,55,DDR4 3200MHz memory module for desktop computers
Power Bank,Mobile,59.99,80,20000mAh portable power bank with PD charging
VR Headset,Gaming,299.99,22,Virtual reality headset with 6DOF tracking
